Run,Energy,Target,LP,HP,CH,Part,M5,M6,M1,M2,C1,C4,C2,C3,C5,C8,C7,C6,M3,M4,M7,M8,Sum
39110,0.2,Cu,5,10,Total,total,143.590817,156.750035,612.795540,318.659540,1133.489001,1615.566382,1033.661229,2055.469216,536.356198,3984.933873,1185.530362,2161.137987,389.319350,859.180996,70.940010,161.825348,16100.546345
39110,0.2,Cu,5,10,HL,e,123.485512,102.886925,396.879830,258.442970,964.723489,1327.803309,878.271255,1619.825839,485.769072,2582.169120,1018.800618,1590.836275,323.169700,747.535573,63.583230,112.411762,12338.151508
39110,0.2,Cu,5,10,HLx,no_particle,153.969475,99.317448,1196.296670,521.792050,1364.485006,2691.567893,1554.842004,1323.576575,391.796899,4499.726877,1828.975368,2625.225268,391.337934,783.185767,48.776848,222.114131,19175.194161
39110,0.2,Cu,5,10,HxLx,"mu,pi,pr",187.767397,269.785182,1106.787450,406.995940,1655.875501,2988.252269,1475.926840,4336.271665,846.662497,7067.775191,1709.007390,3200.920233,546.569526,1136.883273,88.402453,227.465879,26844.352747
39111,0.3,Cu,5,10,Total,total,85.608508,76.350274,647.684090,229.224710,695.467805,1721.510338,489.894964,1868.653871,420.66544,1651.359706,625.3249734,990.9031386,182.397910,309.750935,55.907464,142.705635,9964.185052
39111,0.3,Cu,5,10,HL,e,71.161525,76.527339,617.831310,275.708320,643.8952326,1674.433428,456.5974413,1811.140023,407.6667034,1170.055024,604.6154493,861.9453244,163.976111,284.476361,50.954271,153.959136,9049.234679
39111,0.3,Cu,5,10,HLx,no_particle,0.000000,127.256082,859.575080,425.691250,1287.169183,2012.414428,322.0104087,1252.927452,349.6120329,671.4936702,401.5735276,451.2940689,242.171755,664.164405,26.507163,27.141264,8695.310521
39111,0.3,Cu,5,10,HxLx,"mu,pi,pr",242.203432,75.117792,1070.931110,63.132980,1429.091626,2531.813398,958.1213924,2925.256693,715.3100138,6595.073676,796.1906881,1729.173523,269.590774,329.889383,106.150920,80.414046,19854.328467
39046,0.5,Cu,5,14,Total,total,68.251075,144.575238,487.958980,175.334450,836.0019461,2921.103363,679.9579745,2950.929059,612.0045818,1462.920697,670.3622451,931.5708549,226.936240,602.399399,48.005502,237.787515,12880.764671
39046,0.5,Cu,5,14,HL,e,60.548396,140.801141,476.078180,167.904290,800.3091543,2937.83055,650.6137281,2984.653729,606.0520301,1385.922215,648.7912861,916.2343434,229.081382,599.277180,48.745341,253.868304,12738.806959
